time,HDD,HDD_nosummer
1970-12-31,3285.9,3211.4
1971-12-31,3242.6,3169.2
1972-12-31,3219.9,3108.9
1973-12-31,3284.3,3225.0
1974-12-31,3024.2,2930.0
1975-12-31,3074.8,2970.0
1976-12-31,3128.7,3086.9
1977-12-31,2926.8,2856.5
1978-12-31,3237.5,3108.6
1979-12-31,3069.3,2980.6
1980-12-31,3317.8,3167.4
1981-12-31,3104.2,3000.3
1982-12-31,2848.5,2809.9
1983-12-31,3008.0,2988.2
1984-12-31,3178.7,3124.1
1985-12-31,3299.3,3212.7
1986-12-31,3116.9,3012.8
1987-12-31,3076.3,2989.8
1988-12-31,2840.2,2787.1
1989-12-31,2759.0,2706.4
1990-12-31,2641.7,2576.4
1991-12-31,2979.2,2927.9
1992-12-31,2793.0,2750.8
1993-12-31,2886.1,2829.8
1994-12-31,2458.1,2418.9
1995-12-31,2768.0,2678.8
1996-12-31,3004.4,2946.1
1997-12-31,2661.8,2606.8
1998-12-31,2806.6,2759.2
1999-12-31,2646.7,2627.1
2000-12-31,2435.9,2407.7
2001-12-31,2664.7,2615.3
2002-12-31,2505.7,2483.2
2003-12-31,2718.6,2718.6
2004-12-31,2638.9,2620.2
2005-12-31,2871.2,2856.9
2006-12-31,2694.5,2629.1
2007-12-31,2566.7,2505.9
2008-12-31,2739.5,2700.8
2009-12-31,2630.1,2623.3
2010-12-31,3037.5,2986.6
2011-12-31,2469.2,2416.8
2012-12-31,2754.2,2725.8
2013-12-31,2983.3,2929.7
2014-12-31,2310.4,2278.5
2015-12-31,2634.6,2634.6
2016-12-31,2722.0,2699.5
2017-12-31,2745.5,2725.8
2018-12-31,2362.5,2359.4
2019-12-31,2530.4,2511.0
2020-12-31,2405.7,2367.1
