	loss	val_loss
15	29.64	36.10
19	27.31	36.77
7	37.54	36.98
21	26.34	37.02
22	26.27	37.16
20	26.83	37.51
33	21.77	37.60
23	25.43	37.62
29	23.26	37.68
17	28.21	37.79
35	21.01	37.92
25	24.83	37.96
10	33.77	38.04
8	36.02	38.08
9	34.88	38.14
30	22.44	38.20
26	24.43	38.22
12	31.67	38.26
14	29.95	38.34
16	28.84	38.46
6	39.02	38.52
27	23.91	38.57
36	20.73	38.80
39	20.01	38.84
32	21.92	39.17
24	24.92	39.61
5	40.62	39.84
37	20.47	39.90
34	21.30	39.96
31	22.20	40.18
18	27.86	40.29
13	30.78	40.59
3	44.55	40.93
28	23.49	41.34
38	20.14	42.57
11	33.19	42.82
4	42.81	44.22
40	19.85	44.37
1	49.20	52.70
0	57.89	55.24
2	46.65	60.18
