,set
191595,train
79858,train
115064,train
102722,train
120310,train
177300,train
105038,train
84289,train
135517,train
67504,train
130792,train
111310,train
128880,train
80480,train
130748,train
103269,train
94196,train
109883,train
127430,train
129792,train
99335,train
131266,train
76663,train
115573,train
135001,train
105567,train
148344,train
109887,train
121255,train
171150,train
182079,train
115625,train
121322,train
114687,train
127028,train
131682,train
174445,train
116928,train
113727,train
183589,train
109945,train
128394,train
175996,train
129347,train
106574,train
145951,train
132194,train
129354,train
103755,train
173124,train
125081,train
82397,train
136463,train
112182,train
122264,train
113256,train
150716,train
125638,train
212041,train
71915,train
107419,train
101370,train
106999,train
83818,train
134950,train
77150,train
123184,train
127876,train
170664,train
126531,train
182077,train
98436,train
162102,train
120804,train
120369,train
119380,train
135514,train
123191,train
136863,train
135089,train
96943,train
121797,train
114205,train
176958,train
17641,train
120360,train
145468,train
127906,train
135565,train
74182,train
111844,train
147551,train
111184,train
118898,train
117031,train
152141,train
132626,train
181603,train
23347,train
132648,train
114093,train
77625,train
80000,train
108832,train
108886,train
124108,train
115507,train
110832,train
130293,train
71917,train
144510,train
125501,train
116047,train
173016,train
110312,train
122249,train
130793,train
71914,train
173144,train
98517,train
98995,train
115075,train
126020,train
126978,train
100284,train
114640,train
114644,train
155941,train
175992,train
151385,train
124121,train
134059,train
137437,train
136932,train
83690,train
78569,train
76087,train
136466,train
49101,train
108360,train
108833,train
172571,train
129340,train
135018,train
117491,train
123123,train
76185,train
101769,train
145682,train
69905,train
194910,train
99493,train
106108,train
129305,train
83810,train
164008,train
122706,train
185019,train
166911,train
52900,train
133177,train
131257,train
142168,train
19545,train
116465,train
136486,train
123135,train
103744,train
190277,train
107559,train
110827,train
212042,train
84170,train
129840,train
125480,train
124591,train
88526,train
95619,train
113656,train
212044,train
128901,train
41883,train
79416,train
118416,train
140236,train
118937,train
170675,train
132169,train
129516,train
151125,train
108842,train
104707,train
116079,train
71931,train
118970,train
114536,train
114215,train
114692,train
173516,train
152585,train
97523,train
84293,train
116531,train
147844,train
117523,train
112667,train
129301,train
134535,train
84164,train
106077,train
120338,train
125091,train
128827,train
99901,train
136459,train
123667,train
137395,train
117522,train
66689,train
140708,train
161191,train
144536,train
121290,train
90901,train
54796,train
123180,train
123647,train
94225,train
103734,train
142131,train
167325,train
136462,train
82860,train
134127,train
121273,train
129811,train
196416,train
108935,train
145016,train
98482,train
120292,train
166854,train
134096,train
118916,train
109872,train
140205,train
121328,train
116077,train
144515,train
150712,train
69056,train
126930,train
86196,train
124533,train
101710,train
81908,train
149267,train
107939,train
163094,train
166852,train
124601,train
103730,train
126936,train
128849,train
83811,train
125106,train
130759,train
100806,train
116929,train
116519,train
132665,train
71916,train
126965,train
141192,train
184062,train
90290,train
128820,train
118368,train
137870,train
120815,train
144052,train
