	loss	val_loss
94	13.14	6.95
72	13.17	6.96
86	12.90	7.23
92	12.86	7.35
49	13.43	7.46
88	13.07	7.47
85	12.97	7.49
55	13.30	7.50
93	12.68	7.57
41	13.76	7.58
74	13.23	7.63
75	13.06	7.66
63	13.12	7.72
81	12.89	7.74
61	13.38	7.79
60	13.46	7.80
43	13.58	7.91
91	12.86	7.93
83	12.81	7.98
57	13.38	7.99
50	13.39	8.01
46	13.43	8.01
42	13.44	8.02
90	12.94	8.10
79	12.98	8.11
77	13.04	8.17
73	13.24	8.27
70	13.09	8.39
51	13.57	8.41
26	14.48	8.49
97	12.83	8.49
39	13.91	8.51
78	13.13	8.54
53	13.53	8.59
87	12.85	8.64
21	14.57	8.76
25	14.49	8.79
67	13.14	8.79
33	13.94	8.85
56	13.37	8.91
35	14.09	8.95
16	15.09	8.95
24	14.46	8.98
52	13.42	9.05
23	14.70	9.15
36	13.93	9.33
37	13.81	9.40
59	13.15	9.51
38	13.91	9.53
84	13.03	9.58
29	14.07	9.62
13	15.27	9.75
15	15.04	9.88
22	14.54	9.95
82	12.75	10.02
12	15.28	10.02
40	13.81	10.06
54	13.40	10.07
96	13.06	10.23
58	13.19	10.39
10	16.05	10.40
76	13.21	10.68
20	15.12	10.78
95	12.85	10.90
18	14.98	11.07
66	13.16	11.29
47	13.52	11.62
48	13.54	11.68
34	14.03	11.89
8	16.37	12.13
65	13.14	12.14
17	14.92	12.21
68	13.30	12.45
80	12.95	12.47
71	13.40	12.81
7	16.71	13.11
32	14.40	13.85
30	14.34	13.95
19	15.08	14.32
3	18.21	14.44
11	15.77	14.50
69	13.06	14.64
14	14.86	14.73
6	16.54	14.88
64	13.03	15.04
9	15.92	15.28
5	16.86	15.67
27	14.58	15.90
2	19.26	17.11
44	13.72	17.21
89	12.72	17.27
45	13.53	18.14
4	17.30	18.50
62	13.41	18.50
31	14.16	18.95
28	14.35	23.10
1	20.72	23.88
0	43.38	65.33
