,set
134119,train
136944,train
127411,train
129339,train
135520,train
129363,train
140260,train
136922,train
133157,train
145966,train
130293,train
137898,train
136460,train
135056,train
129804,train
120310,train
133102,train
142169,train
121742,train
136438,train
124123,train
132158,train
129830,train
130730,train
129831,train
127452,train
120819,train
143597,train
138352,train
132679,train
145015,train
132156,train
142644,train
124106,train
138860,train
130754,train
143115,train
127890,train
126461,train
131679,train
137417,train
131693,train
137401,train
137878,train
146928,train
102807,train
116992,train
126493,train
136466,train
132651,train
130791,train
136947,train
142633,train
131241,train
129797,train
138359,train
128402,train
117940,train
137889,train
125552,train
130309,train
135510,train
135977,train
130783,train
137915,train
131713,train
126029,train
130756,train
124130,train
146451,train
141696,train
139311,train
133579,train
127916,train
141684,train
132220,train
124114,train
122209,train
130766,train
127891,train
139778,train
147401,train
123636,train
129318,train
122740,train
120320,train
129350,train
132226,train
137446,train
138346,train
126511,train
106467,train
144546,train
135077,train
135545,train
144072,train
132699,train
125076,train
125037,train
135528,train
126941,train
130732,train
129798,train
120790,train
134088,train
128374,train
132663,train
141688,train
141218,train
137404,train
139336,train
119843,train
137409,train
137438,train
134583,train
136499,train
143122,train
115160,train
126034,train
122267,train
133610,train
128836,train
123153,train
129358,train
136976,train
132641,train
127435,train
114692,train
128356,train
139300,train
130773,train
132700,train
121768,train
121726,train
118890,train
144555,train
127432,train
125056,train
136980,train
130793,train
139301,train
125986,train
126934,train
138384,train
127425,train
122716,train
142652,train
125513,train
120797,train
124088,train
128882,train
129843,train
143600,train
139316,train
143599,train
128400,train
140246,train
116045,train
101378,train
133134,train
122264,train
126479,train
121766,train
120788,train
123643,train
135069,train
127421,train
146443,train
132694,train
140741,train
122215,train
120340,train
123635,train
136917,train
123641,train
141694,train
143119,train
128375,train
132162,train
135543,train
119833,train
144547,train
133624,train
127931,train
133115,train
122671,train
120321,train
121716,train
126014,train
122705,train
135065,train
135521,train
128884,train
125563,train
140744,train
120339,train
142157,train
124590,train
120370,train
123139,train
134550,train
140731,train
129371,train
141219,train
102806,train
133127,train
123650,train
136500,train
137399,train
129789,train
125540,train
131716,train
133587,train
121719,train
124579,train
125086,train
121759,train
124619,train
131221,train
122224,train
133116,train
138843,train
143590,train
127929,train
139312,train
126965,train
126489,train
135058,train
136467,train
125529,train
100903,train
134579,train
127408,train
132167,train
135517,train
128885,train
139775,train
142639,train
131728,train
121747,train
122268,train
128854,train
134086,train
119837,train
142635,train
131223,train
141693,train
122203,train
147403,train
126490,train
125087,train
145973,train
139289,train
132182,train
116111,train
124592,train
132655,train
134117,train
139798,train
131257,train
139783,train
129787,train
136973,train
135030,train
127428,train
141698,train
129337,train
140747,train
139340,train
131248,train
133591,train
131719,train
133103,train
122682,train
123628,train
122192,train
128391,train
131741,train
121272,train
126033,train
122270,train
136464,train
145494,train
133163,train
126007,train
133166,train
128834,train
125989,train
137433,train
130775,train
121731,train
130735,train
138388,train
136473,train
123667,train
128359,train
140746,train
135028,train
127445,train
117946,train
134096,train
133603,train
136489,train
123651,train
126509,train
131209,train
126957,train
133121,train
122210,train
144059,train
129805,train
132637,train
133653,train
136979,train
123183,train
123155,train
135059,train
134570,train
115635,train
130260,train
144540,train
144068,train
108043,train
131697,train
124120,train
123216,train
131206,train
122246,train
138866,train
133112,train
139782,train
140253,train
144553,train
134593,train
129359,train
132201,train
145970,train
122708,train
137454,train
136019,train
135548,train
141226,train
133152,train
136441,train
133596,train
139317,train
118419,train
128412,train
126462,train
136442,train
131200,train
121793,train
136913,train
121266,train
133148,train
127889,train
117980,train
138349,train
121238,train
124602,train
134115,train
125083,train
131701,train
128376,train
135534,train
