	loss	val_loss
57	12.21	7.76
48	13.99	7.98
49	13.74	8.02
45	14.43	8.11
36	14.72	8.28
50	13.53	8.57
34	14.91	8.59
39	14.56	8.98
40	14.45	9.12
24	15.45	9.31
38	14.69	9.48
37	14.55	9.58
26	15.27	9.60
54	12.71	9.60
42	14.39	9.84
41	14.52	10.01
32	15.02	10.06
17	16.44	10.09
46	14.21	10.16
44	14.21	10.18
23	15.66	10.25
21	15.72	10.59
27	15.45	10.80
12	17.24	11.11
82	11.45	11.21
10	17.87	11.46
55	12.49	11.53
20	15.95	11.63
53	12.87	11.75
52	12.95	11.78
33	14.92	11.92
22	15.85	11.94
28	15.26	12.10
35	14.90	12.36
43	14.35	12.38
51	13.13	12.39
25	15.55	12.49
14	16.89	12.58
58	12.26	12.90
56	12.32	12.95
8	18.46	13.00
15	16.60	13.47
31	15.04	13.94
64	11.92	14.02
80	11.59	14.90
70	11.89	15.18
29	15.13	15.37
72	11.75	16.91
81	11.67	16.92
16	16.62	17.03
76	11.56	17.07
61	12.05	17.49
9	18.13	17.79
18	16.23	18.27
66	12.12	18.65
78	11.63	19.02
47	14.09	19.10
77	11.56	20.02
69	11.77	20.03
19	16.32	20.38
79	11.66	20.38
68	12.04	20.47
6	19.33	20.57
59	12.29	20.75
3	22.05	20.85
60	12.10	21.21
62	12.24	21.28
11	17.51	21.42
67	11.82	21.57
30	15.11	21.63
73	11.63	22.02
74	11.86	22.06
0	44.83	22.32
75	11.76	22.41
71	11.83	23.06
65	11.91	26.39
63	11.97	28.17
4	20.68	28.92
13	17.30	29.17
5	20.07	33.35
1	27.01	33.84
7	19.33	37.76
2	24.08	39.51
