,set
108933,train
154518,train
116106,train
130262,train
142154,train
136484,train
138371,train
142175,train
128858,train
85714,train
134611,train
127470,train
128422,train
118901,train
96094,train
114686,train
126046,train
146428,train
145015,train
137387,train
153099,train
132155,train
128406,train
77989,train
112253,train
138388,train
136424,train
124577,train
88552,train
131231,train
84646,train
146427,train
108041,train
95618,train
132159,train
99428,train
131235,train
131253,train
135941,train
73353,train
164522,train
141206,train
138355,train
140729,train
136987,train
109365,train
133663,train
106037,train
132232,train
136459,train
117527,train
120772,train
132198,train
127935,train
148802,train
131727,train
107533,train
85233,train
128873,train
82851,train
133098,train
82269,train
125998,train
122238,train
120847,train
121322,train
135973,train
135471,train
171125,train
127910,train
101377,train
81916,train
127902,train
139755,train
144994,train
136013,train
114683,train
124583,train
82394,train
114218,train
123674,train
130294,train
135035,train
124158,train
121277,train
75138,train
128846,train
123182,train
114539,train
121771,train
137875,train
127888,train
134125,train
142633,train
134577,train
101714,train
127473,train
86069,train
131269,train
173522,train
138356,train
123152,train
121291,train
123174,train
108419,train
130273,train
172545,train
116579,train
127941,train
126033,train
133644,train
117060,train
133637,train
85589,train
169219,train
82872,train
139301,train
102664,train
83332,train
144984,train
85118,train
103661,train
107461,train
117993,train
150240,train
142647,train
103141,train
106519,train
127433,train
117513,train
119434,train
104144,train
126994,train
95625,train
130279,train
133149,train
141657,train
127007,train
138393,train
180654,train
115619,train
164042,train
116577,train
124635,train
118946,train
127438,train
122212,train
119883,train
124163,train
96100,train
108418,train
124099,train
116111,train
74185,train
87610,train
130328,train
119374,train
120291,train
117983,train
128374,train
139767,train
135028,train
146905,train
142637,train
93720,train
132693,train
124585,train
136971,train
131219,train
123131,train
122678,train
95993,train
123197,train
117039,train
126005,train
117966,train
131265,train
131246,train
75133,train
132705,train
84642,train
147378,train
144069,train
135045,train
126521,train
94195,train
126063,train
122248,train
117992,train
136014,train
128886,train
125587,train
107039,train
107984,train
124157,train
86183,train
139781,train
106563,train
126964,train
127890,train
117484,train
109906,train
84756,train
133661,train
20022,train
85249,train
140726,train
100823,train
122735,train
121306,train
141190,train
19069,train
143111,train
116996,train
86666,train
124137,train
117998,train
145941,train
138347,train
114157,train
131739,train
102240,train
136920,train
134519,train
179226,train
127001,train
123606,train
106562,train
120340,train
127460,train
130798,train
118420,train
142640,train
85721,train
142144,train
143096,train
169698,train
117955,train
178276,train
106050,train
197290,train
136964,train
125984,train
148820,train
143113,train
85595,train
87146,train
138368,train
144536,train
136488,train
125566,train
144057,train
145957,train
127926,train
102666,train
120812,train
103668,train
109364,train
120793,train
135548,train
148323,train
106049,train
115626,train
144535,train
146436,train
120789,train
174449,train
117019,train
101765,train
139788,train
105568,train
143592,train
96944,train
120781,train
102188,train
122266,train
139285,train
126972,train
94627,train
134992,train
118449,train
126976,train
128425,train
132646,train
125518,train
100375,train
125064,train
119366,train
108937,train
123143,train
123631,train
108940,train
137409,train
113619,train
135059,train
121303,train
126530,train
53375,train
144983,train
82868,train
132225,train
145474,train
126042,train
100292,train
118899,train
124147,train
138389,train
173499,train
108042,train
130334,train
146441,train
153090,train
141699,train
131748,train
101284,train
120811,train
144521,train
125042,train
139780,train
123651,train
105996,train
134090,train
147370,train
144987,train
145483,train
129336,train
136034,train
81920,train
67173,train
128429,train
136918,train
134082,train
142145,train
129378,train
146451,train
140739,train
119409,train
131690,train
81439,train
125112,train
115979,train
126499,train
130320,train
197368,train
131209,train
121779,train
195391,train
118947,train
120769,train
138864,train
125543,train
107054,train
137877,train
105090,train
129818,train
116063,train
136983,train
173496,train
139318,train
147396,train
127456,train
126501,train
106526,train
103143,train
127462,train
149752,train
131256,train
175875,train
103194,train
120817,train
132712,train
142164,train
115633,train
131271,train
129359,train
84295,train
131263,train
118908,train
127484,train
105561,train
145967,train
125072,train
164520,train
111780,train
116544,train
124588,train
138827,train
127939,train
143564,train
133629,train
84639,train
141693,train
81796,train
105632,train
121776,train
122257,train
118012,train
123692,train
154044,train
146923,train
74659,train
128421,train
102727,train
142621,train
123615,train
123157,train
139766,train
104572,train
152621,train
118942,train
130784,train
120363,train
122218,train
127384,train
118903,train
75611,train
142150,train
122242,train
123192,train
147380,train
125519,train
117990,train
127937,train
91780,train
179701,train
125082,train
135479,train
130332,train
86672,train
85723,train
133162,train
101239,train
116992,train
136969,train
120329,train
