ds_id,Dataset title,variable,unit,israster,unit_mod,type_of_data,class_of_data
1,PVGIS: Solar Radiation Data,"Monthly average global irradiance on a horizontal surface (W/m2), period 2005-2015",W/m2,TRUE,W/m2,irradiance,environmental
1,PVGIS: Solar Radiation Data,"Monthly average global irradiance on an optimally inclined surface (W/m2), period 2005-2015",W/m2,TRUE,W/m2,irradiance,environmental
1,PVGIS: Solar Radiation Data,"Monthly average global irradiance on a two-axis sun-tracking surface (W/m2), period 2005-2015",W/m2,TRUE,W/m2,irradiance,environmental
2,JRC: Geothermal Power Plant Dataset,gross_cap_ele,MW,FALSE,MW,en_power,energy_cap
2,JRC: Geothermal Power Plant Dataset,gross_cap_th,MW,FALSE,MW,en_power,energy_cap
2,JRC: Geothermal Power Plant Dataset,ini_cap_ele,MW,FALSE,MW,en_power,energy_cap
3,JRC: Hydro-power plants database,avg_annual_generation_GWh,GWh,FALSE,GWh,en_production,energy_prod
3,JRC: Hydro-power plants database,installed_capacity_MW,MW,FALSE,MW,en_power,energy_cap
3,JRC: Hydro-power plants database,pumping_MW,MW,FALSE,MW,en_power,energy_cap
3,JRC: Hydro-power plants database,storage_capacity_MWh,MWh,FALSE,MWh,en_production,energy_prod
4,JRC: Open Power Plants Database,capacity_g,MW,FALSE,MW,en_power,energy_cap
4,JRC: Open Power Plants Database,capacity_p,MW,FALSE,MW,en_power,energy_cap
5,EEA: Share of gross final consumption of renewable energy sources,Electricity,%,FALSE,%,share_en_consumption,energy_cons
5,EEA: Share of gross final consumption of renewable energy sources,GFEC,ktoe,FALSE,ktoe,share_en_consumption,energy_cons
5,EEA: Share of gross final consumption of renewable energy sources,Heating and Cooling,%,FALSE,%,share_en_consumption,energy_cons
5,EEA: Share of gross final consumption of renewable energy sources,Total,%,FALSE,%,share_en_consumption,energy_cons
5,EEA: Share of gross final consumption of renewable energy sources,Transport,%,FALSE,%,share_en_consumption,energy_cons
6,Energy consumption in households,Electricity : Final consumption - other sectors - households - energy use,Gigawatt-hour,FALSE,GWh,en_consumption,energy_cons
6,Energy consumption in households,Electricity : Final consumption - other sectors - households - energy use - cooking,Gigawatt-hour,FALSE,GWh,en_consumption,energy_cons
6,Energy consumption in households,Electricity : Final consumption - other sectors - households - energy use - lighting and electrical appliances,Gigawatt-hour,FALSE,GWh,en_consumption,energy_cons
6,Energy consumption in households,Electricity : Final consumption - other sectors - households - energy use - other end use,Gigawatt-hour,FALSE,GWh,en_consumption,energy_cons
6,Energy consumption in households,Electricity : Final consumption - other sectors - households - energy use - space cooling,Gigawatt-hour,FALSE,GWh,en_consumption,energy_cons
6,Energy consumption in households,Electricity : Final consumption - other sectors - households - energy use - space heating,Gigawatt-hour,FALSE,GWh,en_consumption,energy_cons
6,Energy consumption in households,Electricity : Final consumption - other sectors - households - energy use - water heating,Gigawatt-hour,FALSE,GWh,en_consumption,energy_cons
7,Electricitymap,Electricity production capacity,MW,FALSE,MW,en_power,energy_cap
8,GISCO Population,Inhabitants,[-],FALSE,Number,inhabitants,socio_economic
9,Eurostat: Degree days,Cooling degree days,Number,FALSE,Number,climate,environmental
9,Eurostat: Degree days,Heating degree days,Number,FALSE,Number,climate,environmental
11,SETIS: Private R&I investment in energy technologies,inventions,-,FALSE,Number,R&I,socio_economic
11,SETIS: Private R&I investment in energy technologies,inventions_eu_share,%,FALSE,%,R&I,socio_economic
11,SETIS: Private R&I investment in energy technologies,private_ri_investment,EUR million,FALSE,M€,R&I,socio_economic
11,SETIS: Private R&I investment in energy technologies,private_ri_investment_eu_share,%,FALSE,%,R&I,socio_economic
11,SETIS: Private R&I investment in energy technologies,public_ri_investment,EUR million,FALSE,M€,R&I,socio_economic
11,SETIS: Private R&I investment in energy technologies,public_ri_investment_eu_share,%,FALSE,%,R&I,socio_economic
11,SETIS: Private R&I investment in energy technologies,specialisation_index_inventions,-,FALSE,dimensionless,R&I,socio_economic
14,Climate Extreme Indices,Amount of cold nights,%,TRUE,%,climate,environmental
14,Climate Extreme Indices,Amount of cool days,%,TRUE,%,climate,environmental
14,Climate Extreme Indices,Amount of hot days,%,TRUE,%,climate,environmental
14,Climate Extreme Indices,Amount of warm nights,%,TRUE,%,climate,environmental
14,Climate Extreme Indices,Annual total wet-day PR,mm,TRUE,mm,climate_prec,environmental
14,Climate Extreme Indices,Consecutive Dry Days,NULL,TRUE,Number,climate,environmental
14,Climate Extreme Indices,Consecutive Wet Days,NULL,TRUE,Number,climate,environmental
14,Climate Extreme Indices,Daily Temperature Range,°C,TRUE,°C,climate_temp,environmental
14,Climate Extreme Indices,Fraction of days with above average temperature,%,TRUE,%,climate,environmental
14,Climate Extreme Indices,Frost Days,NULL,TRUE,Number,climate,environmental
14,Climate Extreme Indices,Ice Days,NULL,TRUE,Number,climate,environmental
14,Climate Extreme Indices,Max 1-day PR,mm,TRUE,mm,climate_prec,environmental
14,Climate Extreme Indices,Max 5-day PR,mm,TRUE,mm,climate_prec,environmental
14,Climate Extreme Indices,Max TN,°C,TRUE,°C,climate_temp,environmental
14,Climate Extreme Indices,Max TX,°C,TRUE,°C,climate_temp,environmental
14,Climate Extreme Indices,Mean TM,°C,TRUE,°C,climate_temp,environmental
14,Climate Extreme Indices,Mean TN,°C,TRUE,°C,climate_temp,environmental
14,Climate Extreme Indices,Mean TX,°C,TRUE,°C,climate_temp,environmental
14,Climate Extreme Indices,"Measure of drought using the Standardised Precipitation Evapotranspiration Index on time scales of 24, 36 and 48 months",unitless,TRUE,dimensionless,climate,environmental
14,Climate Extreme Indices,"Measure of drought using the Standardised Precipitation Evapotranspiration Index on time scales of 3, 6 and 12 months",unitless,TRUE,dimensionless,climate,environmental
14,Climate Extreme Indices,"Measure of drought using the Standardised Precipitation Index on time scales of 24, 36 and 48 months",unitless,TRUE,dimensionless,climate,environmental
14,Climate Extreme Indices,"Measure of drought using the Standardised Precipitation Index on time scales of 3, 6 and 12 months",unitless,TRUE,dimensionless,climate,environmental
14,Climate Extreme Indices,Min TN,°C,TRUE,°C,climate_temp,environmental
14,Climate Extreme Indices,Min TX,°C,TRUE,°C,climate_temp,environmental
14,Climate Extreme Indices,Number of customised rain days,NULL,TRUE,Number,climate,environmental
14,Climate Extreme Indices,Number of heavy rain days,NULL,TRUE,Number,climate,environmental
14,Climate Extreme Indices,Number of very heavy rain days,NULL,TRUE,Number,climate,environmental
14,Climate Extreme Indices,Summer days,NULL,TRUE,Number,climate,environmental
14,Climate Extreme Indices,TM below 10°C,NULL,TRUE,Number,climate,environmental
14,Climate Extreme Indices,TM below 5°C,NULL,TRUE,Number,climate,environmental
14,Climate Extreme Indices,TM of at least 5°C,NULL,TRUE,Number,climate,environmental
14,Climate Extreme Indices,TN below -20°C,NULL,TRUE,Number,climate,environmental
14,Climate Extreme Indices,TN below -2°C,NULL,TRUE,Number,climate,environmental
14,Climate Extreme Indices,TN below 2°C,NULL,TRUE,Number,climate,environmental
14,Climate Extreme Indices,Tropical nights,NULL,TRUE,Number,climate,environmental
14,Climate Extreme Indices,TX of at least 10°C,NULL,TRUE,Number,climate,environmental
14,Climate Extreme Indices,TX of at least 30°C,NULL,TRUE,Number,climate,environmental
14,Climate Extreme Indices,TX of at least 35°C,NULL,TRUE,Number,climate,environmental
14,Climate Extreme Indices,User-defined consecutive days PR amount,mm,TRUE,mm,climate_prec,environmental
15,Copernicus: hourly global climate and weather data,10m_u_component_of_wind,m s**-1,TRUE,m/s,climate,environmental
15,Copernicus: hourly global climate and weather data,10m_v_component_of_wind,m s**-1,TRUE,m/s,climate,environmental
15,Copernicus: hourly global climate and weather data,2m_dewpoint_temperature,K,TRUE,K,climate_temp,environmental
15,Copernicus: hourly global climate and weather data,2m_temperature,K,TRUE,K,climate_temp,environmental
15,Copernicus: hourly global climate and weather data,mean_sea_level_pressure,Pa,TRUE,Pa,climate,environmental
15,Copernicus: hourly global climate and weather data,mean_wave_direction,Degree true,TRUE,degree,climate,environmental
15,Copernicus: hourly global climate and weather data,mean_wave_period,s,TRUE,s,climate,environmental
15,Copernicus: hourly global climate and weather data,sea_surface_temperature,K,TRUE,K,climate_temp,environmental
15,Copernicus: hourly global climate and weather data,significant_height_of_combined_wind_waves_and_swell,m,TRUE,m,climate,environmental
15,Copernicus: hourly global climate and weather data,surface_pressure,Pa,TRUE,Pa,climate,environmental
15,Copernicus: hourly global climate and weather data,total_precipitation,m,TRUE,m,climate_prec,environmental
