ID,Shared_ID
1,PVGIS
2,jrc-10128-10001
3,hydro-power-database
4,JRC-PPDB-OPEN
5,RES_proxies_EEA
6,nrg_d_hhq
7,ENTSO-E_actualGenerationPerProductionType
8,estat-gisco
9,nrg_chddr2_m 
10,combi
11,jrc-10115-10001
12,cordisH2020projects
13,energy-technology-rdd
14,PANGAEA.898014
15,cds.adbb2d47
16,jrc-emhires-wind-generation-time-series
17,jrc-emhires-solar-generation-time-series
18,GTF-energy-efficiency
19,JRC-EDGAR-FT
20,cds.bd0915c6
21,EU-DEM
22,nrg_ind_eff 
23,jrc-projected-water-withdrawal
24,world-solar-irradiation-and-pv-power-potential-map
25,new-eu-wind-atlas
26,SDH
27,S2BIOM
28,hotmaps-building-stock
29,SET-Nav
30,GISCO-GEOSTAT
31,potential_geothermal_raster
32,
33,copernicus-building-height
34,SHC-Task45
35,copernicus-european-settlement-map
36,episcope-building-typology
37,episcope-average-buildings
38,odysee-database
39,entranze-database
40,CommONEnergy
41,zebra2020
42,cens_11r
43,hotmpas_heat_tot_curr_density
44,echoes_survey
45,hotmaps_gfa_tot_curr_density
46,OECD.AIR_GHG
47,nrg_pc_204_c 
48,nama_10_co3_p3 
49,t2020_rd320 
50,tgs00004 
