ID,PID
1,
2,http://data.europa.eu/88u/dataset/jrc-10128-10001
3,https://doi.org/10.5281/zenodo.4289229
4,http://data.europa.eu/88u/dataset/9810feeb-f062-49cd-8e76-8d8cfd488a05
5,
6,http://data.europa.eu/88u/dataset/UVygjkxEv6PYwQWBgmgwyg
7,
8,https://data.europa.eu/euodp/data/dataset/estat-gisco 
9,https://data.europa.eu/euodp/en/data/dataset/UQUBSbdDYYAUTQWpdXdwFg
10,
11,http://data.europa.eu/88u/dataset/jrc-10115-10001
12,http://data.europa.eu/88u/dataset/cordisH2020projects
13,
14,https://doi.pangaea.de/10.1594/PANGAEA.898014
15,https://doi.org/10.24381/cds.adbb2d47
16,http://data.europa.eu/89h/jrc-emhires-wind-generation-time-series
17,http://data.europa.eu/89h/jrc-emhires-solar-generation-time-series
18,
19,http://data.europa.eu/89h/a40a53a8-7419-4660-9f82-185729d30185
20,https://doi.org/10.24381/cds.bd0915c6
21,http://data.europa.eu/88u/dataset/DAT-193-en
22,http://data.europa.eu/88u/dataset/YIX54AYLew2DOmPqK8dRfQ
23,https://doi.org/10.5281/zenodo.3243384
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,10.5281/zenodo.3524917
45,
46,
47,http://data.europa.eu/88u/dataset/Qi7Sghy3JzHREYTBLt8jrg
48,http://data.europa.eu/88u/dataset/E3td1eJcpRfbHOtLntXwA
49,http://data.europa.eu/88u/dataset/rn3OngWhEmmS9UM8DCFKw
50,http://data.europa.eu/88u/dataset/fPYvINnbvNysRmhXlrQ
